industry_desc,ind_code,year,emp_code,est_number,total_employment,paid_employees,total_income,total_exp,compensation,other_exp,value_of_output,intermediate_exp,value_added,tf_assets,change_inv,subsidy,commerce_transaction
Manufacture of textile industrial bags,1584,2015,B,9,98,98,46707.00,44042.00,12528.00,31514.00,38690.00,20269.00,17081.00,1361.00,1201.00,0.00,0.00
"Manufacture of paint products, n.e.c.",15175,2015,A,4,204,204,975419.00,916713.00,59992.00,856720.00,891234.00,743340.00,139726.00,10251.00,47569.00,0.00,0.00
"Manufacture of wearing apparel, n.e.c",15103,2015,A,90,23963,23958,10101766.00,9911739.00,4180184.00,5731555.00,10191433.00,4948009.00,4786159.00,144617.00,24815.00,0.00,8313.00
"Manufacture of wadding of textile materials and articles of wadding (e.g. sanitary towels, tampons, etc.)",15146,2015,A,7,1005,1005,5230007.00,4921942.00,182747.00,4739194.00,5053308.00,4170022.00,579746.00,17921.00,-186147.00,0.00,0.00
"Manufacture of structural metal products, n.e.c.",15244,2015,B,38,337,337,176763.00,122336.00,42239.00,80097.00,176381.00,56017.00,103827.00,7492.00,816.00,0.00,0.00
Tanning and dressing of leather,15109,2015,B,7,89,86,62609.00,61391.00,7870.00,53521.00,61524.00,49983.00,10109.00,666.00,-3430.00,0.00,0.00
"Manufacture of miscellaneous textiles, n.e.c.",1598,2015,A,4,182,182,130822.00,184298.00,38654.00,145644.00,123028.00,121834.00,-13351.00,5692.00,2329.00,0.00,0.00
"Manufacture of glass and glass products, n.e.c.",15207,2015,B,28,265,246,309237.00,241266.00,32653.00,208613.00,309237.00,187001.00,108112.00,0.00,5204.00,0.00,0.00
Manufacture of imitation of jewelry and related articles,15377,2015,A,14,928,922,342823.00,326331.00,106368.00,219963.00,326406.00,132437.00,159240.00,6332.00,-15411.00,0.00,0.00
"Manufacture of hats, gloves, handkerchiefs, neckwear and belts regardless of material",15102,2015,A,26,4196,4184,2313939.00,2233033.00,657840.00,1575193.00,2243903.00,1245406.00,840763.00,41055.00,25467.00,0.00,0.00
"Manufacture of lifting and hoisting machinery, cranes, elevators , industrial trucks, tractors, stackers, specialized ports for lifting and handling equipment",15314,2015,B,3,40,40,90777.00,85825.00,9058.00,76766.00,90897.00,66596.00,17866.00,92.00,6358.00,0.00,0.00
"Manufacture of miscellaneous chemical products, n.e.c.",15185,2015,A,9,1116,1116,5192787.00,1445486.00,311582.00,1133905.00,1695316.00,618372.00,686260.00,51715.00,45407.00,0.00,0.00
"Distilling, rectifying and blending of spirits",1565,2015,B,3,33,33,13664.00,13036.00,2531.00,10505.00,13526.00,8778.00,4425.00,0.00,869.00,0.00,0.00
Manufacture of abrasive products,15223,2015,B,3,32,32,13018.00,12486.00,1887.00,10599.00,12288.00,8304.00,3633.00,0.00,1698.00,0.00,0.00
"Manufacture of electrothermic domestic appliances (e.g. hair dressing appliances, electric instantaneous storage, heaters, flat-irons, plate warmers, coffee or teamakers)",15299,2015,B,5,41,39,52257.00,49561.00,6338.00,43222.00,52326.00,37337.00,12068.00,0.00,2029.00,0.00,0.00
Repair of fabricated metal products,15406,2015,A,69,2894,2864,2111134.00,1875894.00,434081.00,1441813.00,2105728.00,1143292.00,845559.00,33456.00,33594.00,0.00,0.00
Manufacture of pesticides and other agro-chemical products,15169,2015,B,7,71,71,495248.00,478878.00,15094.00,463784.00,305295.00,268173.00,38763.00,73.00,-2779.00,0.00,0.00
